Chart,Minute,Price,Funding
Image_8,-15,0.0795,-0.0581
Image_8,-12,0.0796,-0.0582
Image_8,-9,0.0797,-0.0583
Image_8,-6,0.0797,-0.0584
Image_8,-3,0.0797,-0.0585
Image_8,0,0.0797,-0.0586
Image_8,3,0.0808,-0.0620
Image_8,6,0.0823,-0.0850
Image_8,9,0.0841,-0.1420
Image_8,12,0.0859,-0.2180
Image_8,15,0.0868,-0.3150
Image_8,18,0.0873,-0.4210
Image_8,21,0.0875,-0.5240
Image_8,24,0.0876,-0.7246

Image_1,-15,0.1205,-0.0120
Image_1,-12,0.1208,-0.0121
Image_1,-9,0.1210,-0.0123
Image_1,-6,0.1212,-0.0125
Image_1,-3,0.1215,-0.0128
Image_1,0,0.1220,-0.0130
Image_1,3,0.1245,-0.0180
Image_1,6,0.1280,-0.0250
Image_1,9,0.1315,-0.0350
Image_1,12,0.1350,-0.0480
Image_1,15,0.1385,-0.0650
Image_1,18,0.1410,-0.0850
Image_1,21,0.1435,-0.1100
Image_1,24,0.1455,-0.1400
Image_1,27,0.1498,-0.1615

Image_2,-15,0.00389,-0.0526
Image_2,-12,0.00390,-0.0530
Image_2,-9,0.00391,-0.0535
Image_2,-6,0.00392,-0.0540
Image_2,-3,0.00393,-0.0545
Image_2,0,0.00393,-0.0550
Image_2,3,0.00405,-0.0700
Image_2,6,0.00418,-0.0950
Image_2,9,0.00428,-0.1300
Image_2,12,0.00432,-0.1500

Image_3,-15,0.1140,-0.0439
Image_3,-12,0.1145,-0.0500
Image_3,-9,0.1155,-0.0620
Image_3,-6,0.1165,-0.0750
Image_3,-3,0.1175,-0.0900
Image_3,0,0.1184,-0.1213
Image_3,3,0.1250,-0.1800
Image_3,6,0.1350,-0.2500
Image_3,9,0.1450,-0.3200
Image_3,12,0.1520,-0.4000
Image_3,15,0.1550,-0.4500
Image_3,18,0.1574,-0.5040

Image_4,-15,0.02080,-0.0904
Image_4,-12,0.02082,-0.0905
Image_4,-9,0.02085,-0.0907
Image_4,-6,0.02090,-0.0910
Image_4,-3,0.02095,-0.0915
Image_4,0,0.02095,-0.0920
Image_4,3,0.02130,-0.1100
Image_4,6,0.02180,-0.1400
Image_4,9,0.02210,-0.1700
Image_4,12,0.02243,-0.2000

Image_5,-15,0.1160,-0.3000
Image_5,-12,0.1165,-0.3100
Image_5,-9,0.1170,-0.3200
Image_5,-6,0.1175,-0.3300
Image_5,-3,0.1180,-0.3400
Image_5,0,0.1185,-0.3500
Image_5,3,0.1220,-0.4000
Image_5,6,0.1250,-0.4500
Image_5,9,0.1270,-0.5000
Image_5,12,0.1290,-0.6000

Image_6,-15,0.2000,-0.1295
Image_6,-12,0.2010,-0.1296
Image_6,-9,0.2020,-0.1297
Image_6,-6,0.2030,-0.1298
Image_6,-3,0.2040,-0.1299
Image_6,0,0.2050,-0.1300
Image_6,3,0.2200,-0.1400
Image_6,6,0.2400,-0.1600
Image_6,9,0.2600,-0.1900
Image_6,12,0.2700,-0.2200
Image_6,15,0.2786,-0.2300

Image_7,-15,0.0650,-0.3581
Image_7,-12,0.0655,-0.3600
Image_7,-9,0.0660,-0.3620
Image_7,-6,0.0665,-0.3650
Image_7,-3,0.0670,-0.3680
Image_7,0,0.0675,-0.3700
Image_7,3,0.0720,-0.4000
Image_7,6,0.0770,-0.4500
Image_7,9,0.0810,-0.5000
Image_7,12,0.0840,-0.5500
Image_7,15,0.0859,-0.6000